============================================
   BATTERY PERFORMANCE TEST REPORT
============================================
App Tested     : msedge.exe
Test Duration  : 1090 seconds
Test Date/Time : 2026-04-24 16:58:05

--- SYSTEM METRICS SUMMARY ---
Average CPU Usage  : 0.13%
Peak CPU Usage     : 12.5%
Average Memory     : 25.93 MB
Peak Memory        : 27.09765625 MB
Battery (Start)    : 100%
Battery (End)      : 100%
Battery Drain      : 0%

--- IMPACT SCORES ---
CPU Impact     : Low
Memory Impact  : Low
Battery Impact : Low
OVERALL SCORE  : 🟢 Low Impact

--- RECOMMENDATION ---
This app is battery-friendly. Safe to run in the background.

--- RAW READINGS ---
Timestamp   | CPU (%)  | Memory (MB) | Battery (%)
16:38:37    |      0.0 |        25.1 | 100.0      
16:38:40    |      0.0 |        25.1 | 100.0      
16:38:43    |      0.0 |        25.1 | 100.0      
16:38:46    |      0.0 |        25.1 | 100.0      
16:38:49    |      1.6 |        25.1 | 100.0      
16:38:52    |      0.0 |        22.9 | 100.0      
16:38:55    |      0.0 |        22.9 | 100.0      
16:38:58    |      0.0 |        22.9 | 100.0      
16:39:01    |      0.0 |        22.9 | 100.0      
16:39:04    |      0.0 |        22.9 | 100.0      
16:39:07    |      0.0 |        22.9 | 100.0      
16:39:10    |      1.6 |        22.9 | 100.0      
16:39:13    |      0.0 |        22.9 | 100.0      
16:39:16    |      0.0 |        22.9 | 100.0      
16:39:19    |      0.0 |        23.0 | 100.0      
16:39:22    |      0.0 |        23.0 | 100.0      
16:39:25    |      0.0 |        23.0 | 100.0      
16:39:28    |      0.0 |        23.0 | 100.0      
16:39:31    |      0.0 |        23.0 | 100.0      
16:39:34    |      0.0 |        23.0 | 100.0      
16:39:37    |      0.0 |        23.0 | 100.0      
16:39:40    |      0.0 |        23.0 | 100.0      
16:39:43    |      0.0 |        23.0 | 100.0      
16:39:46    |      0.0 |        23.0 | 100.0      
16:39:49    |      0.0 |        23.0 | 100.0      
16:39:52    |      0.0 |        23.0 | 100.0      
16:39:55    |      0.0 |        23.1 | 100.0      
16:39:58    |      0.0 |        23.1 | 100.0      
16:40:01    |      0.0 |        23.1 | 100.0      
16:40:04    |      0.0 |        23.1 | 100.0      
16:40:07    |      3.1 |        23.1 | 100.0      
16:40:10    |      0.0 |        23.4 | 100.0      
16:40:13    |      0.0 |        23.4 | 100.0      
16:40:16    |      0.0 |        23.4 | 100.0      
16:40:19    |      0.0 |        23.4 | 100.0      
16:40:22    |      0.0 |        23.4 | 100.0      
16:40:25    |      0.0 |        23.4 | 100.0      
16:40:28    |      0.0 |        23.4 | 100.0      
16:40:31    |      0.0 |        23.4 | 100.0      
16:40:34    |      0.0 |        23.4 | 100.0      
16:40:37    |      0.0 |        23.4 | 100.0      
16:40:40    |      0.0 |        23.4 | 100.0      
16:40:43    |      0.0 |        23.4 | 100.0      
16:40:46    |      0.0 |        23.4 | 100.0      
16:40:49    |      0.0 |        23.4 | 100.0      
16:40:52    |      0.0 |        23.4 | 100.0      
16:40:55    |      0.0 |        23.4 | 100.0      
16:40:58    |      0.0 |        23.5 | 100.0      
16:41:01    |      0.0 |        23.5 | 100.0      
16:41:04    |      0.0 |        23.5 | 100.0      
16:41:07    |      0.0 |        23.5 | 100.0      
16:41:10    |      0.0 |        23.5 | 100.0      
16:41:13    |      0.0 |        23.5 | 100.0      
16:41:16    |      0.0 |        23.5 | 100.0      
16:41:19    |      0.0 |        23.5 | 100.0      
16:41:22    |      0.0 |        23.5 | 100.0      
16:41:25    |      0.0 |        23.5 | 100.0      
16:41:28    |      0.0 |        23.5 | 100.0      
16:41:31    |     12.5 |        26.2 | 100.0      
16:41:34    |      0.0 |        26.4 | 100.0      
16:41:37    |      0.0 |        26.4 | 100.0      
16:41:40    |      0.0 |        26.4 | 100.0      
16:41:43    |      0.0 |        26.4 | 100.0      
16:41:46    |      0.0 |        26.4 | 100.0      
16:41:49    |      0.0 |        26.4 | 100.0      
16:41:52    |      0.0 |        26.4 | 100.0      
16:41:56    |      0.0 |        26.4 | 100.0      
16:41:59    |      0.0 |        26.4 | 100.0      
16:42:02    |      0.0 |        26.4 | 100.0      
16:42:05    |      0.0 |        26.4 | 100.0      
16:42:08    |      0.0 |        25.7 | 100.0      
16:42:11    |      0.0 |        25.7 | 100.0      
16:42:14    |      0.0 |        25.7 | 100.0      
16:42:17    |      0.0 |        25.7 | 100.0      
16:42:20    |      0.0 |        25.7 | 100.0      
16:42:23    |      1.5 |        25.7 | 100.0      
16:42:26    |      0.0 |        25.7 | 100.0      
16:42:29    |      0.0 |        25.7 | 100.0      
16:42:32    |      0.0 |        25.7 | 100.0      
16:42:35    |      0.0 |        25.7 | 100.0      
16:42:38    |      0.0 |        25.7 | 100.0      
16:42:41    |      0.0 |        25.7 | 100.0      
16:42:44    |      0.0 |        25.7 | 100.0      
16:42:47    |      0.0 |        25.7 | 100.0      
16:42:50    |      0.0 |        25.7 | 100.0      
16:42:53    |      0.0 |        25.7 | 100.0      
16:42:56    |      1.6 |        25.7 | 100.0      
16:42:59    |      0.0 |        25.7 | 100.0      
16:43:02    |      0.0 |        25.7 | 100.0      
16:43:05    |      0.0 |        25.7 | 100.0      
16:43:08    |      0.0 |        25.7 | 100.0      
16:43:11    |      0.0 |        25.7 | 100.0      
16:43:14    |      0.0 |        25.7 | 100.0      
16:43:17    |      0.0 |        25.7 | 100.0      
16:43:20    |      0.0 |        25.8 | 100.0      
16:43:23    |      0.0 |        25.8 | 100.0      
16:43:26    |      0.0 |        25.8 | 100.0      
16:43:29    |      0.0 |        25.8 | 100.0      
16:43:32    |      0.0 |        25.8 | 100.0      
16:43:35    |      0.0 |        25.8 | 100.0      
16:43:38    |      0.0 |        25.8 | 100.0      
16:43:41    |      0.0 |        25.8 | 100.0      
16:43:44    |      0.0 |        25.8 | 100.0      
16:43:47    |      0.0 |        25.8 | 100.0      
16:43:50    |      0.0 |        25.8 | 100.0      
16:43:53    |      0.0 |        25.8 | 100.0      
16:43:56    |      0.0 |        25.8 | 100.0      
16:43:59    |      0.0 |        25.8 | 100.0      
16:44:02    |      1.6 |        25.8 | 100.0      
16:44:05    |      0.0 |        25.8 | 100.0      
16:44:08    |      0.0 |        25.8 | 100.0      
16:44:11    |      0.0 |        25.9 | 100.0      
16:44:14    |      0.0 |        25.9 | 100.0      
16:44:17    |      0.0 |        25.9 | 100.0      
16:44:20    |      0.0 |        25.9 | 100.0      
16:44:23    |      0.0 |        25.9 | 100.0      
16:44:26    |      0.0 |        25.9 | 100.0      
16:44:29    |      0.0 |        25.9 | 100.0      
16:44:32    |      0.0 |        25.9 | 100.0      
16:44:35    |      0.0 |        25.9 | 100.0      
16:44:38    |      0.0 |        25.9 | 100.0      
16:44:41    |      1.6 |        25.9 | 100.0      
16:44:44    |      0.0 |        25.9 | 100.0      
16:44:47    |      0.0 |        25.9 | 100.0      
16:44:50    |      0.0 |        25.9 | 100.0      
16:44:53    |      0.0 |        25.9 | 100.0      
16:44:56    |      0.0 |        25.9 | 100.0      
16:44:59    |      0.0 |        25.9 | 100.0      
16:45:02    |      0.0 |        25.9 | 100.0      
16:45:05    |      0.0 |        25.9 | 100.0      
16:45:08    |      0.0 |        25.9 | 100.0      
16:45:11    |      0.0 |        25.9 | 100.0      
16:45:14    |      0.0 |        25.9 | 100.0      
16:45:17    |      0.0 |        25.9 | 100.0      
16:45:20    |      0.0 |        25.9 | 100.0      
16:45:23    |      0.0 |        25.9 | 100.0      
16:45:27    |      0.0 |        25.9 | 100.0      
16:45:30    |      0.0 |        25.9 | 100.0      
16:45:33    |      0.0 |        25.9 | 100.0      
16:45:36    |      0.0 |        25.9 | 100.0      
16:45:39    |      1.6 |        25.9 | 100.0      
16:45:42    |      0.0 |        25.9 | 100.0      
16:45:45    |      0.0 |        25.9 | 100.0      
16:45:48    |      0.0 |        25.9 | 100.0      
16:45:51    |      0.0 |        25.9 | 100.0      
